Time (ns)	RMSD	RMSF	rGyr	SASA
88.4	8.244		5.393	282.519
88.6	9.289		5.235	249.313
88.8	8.069		5.458	267.962
89	7.823		5.47	294.207
89.2	8.348		5.249	226.744
89.4	9.462		5.226	285.571
89.6	9.064		5.219	268.965
89.8	9.21		5.055	269.005
90	9.459		5.132	270.192
90.2	8.959		5.21	265.836
90.4	7.692		5.237	244.431
90.6	7.613		5.414	234.245
90.8	8.727		5.386	265.336
91	8.002		5.157	249.41
91.2	8.653		5.321	263.359
91.4	8.82		5.222	254.428
91.6	8.646		5.377	235.09
91.8	7.512		5.367	227.192
92	7.995		5.35	272.027
92.2	8.218		5.486	271.308
92.4	8.035		5.375	266.868
92.6	7.255		5.293	237.056
92.8	7.597		5.285	255.313
93	9.165		5.451	284.409
93.2	8.581		5.298	260.123
93.4	8.005		5.148	250.261
93.6	8.753		5.254	274.907
93.8	7.915		5.186	265.112
94	7.288		5.49	272.829
94.2	8.258		5.1	251.037
94.4	8.621		5.116	260.847
94.6	7.878		5.204	245.638
94.8	7.645		5.222	231.458
95	9.375		5.276	288.092
95.2	9.298		5.205	269.441
95.4	9.423		5.118	274.673
95.6	8.527		5.304	251.807
95.8	8.3		5.186	236.962
96	9.206		5.171	236.382
96.2	9.16		5.333	285.562
96.4	8.098		5.21	245.766
96.6	8.317		5.102	250.34
96.8	8.499		5.409	264.585
97	6.523		5.11	220.368
97.2	7.597		5.016	244.542
97.4	8.754		5.354	286.637
97.6	9.075		5.185	236.122
97.8	8.865		5.467	329.103
98	8.413		5.27	273.919
98.2	7.596		5.248	249.51
98.4	8.078		5.44	273.406
98.6	9.012		5.202	259.965
98.8	7.939		5.433	258.332
99	9.483		5.455	291.193
99.2	7.927		5.516	292.215
99.4	7.294		5.425	264.422
99.6	8.192		5.227	233.464
99.8	9.137		5.547	287.911
100	7.774		5.283	218.677
100.2	8.152		5.288	237.459
100.4	6.29		5.355	264.087
100.6	6.529		5.349	240
100.8	7.571		5.429	239.87
101	7.972		5.285	248.31
101.2	6.579		5.311	217.15
101.4	8.184		5.284	259.488
101.6	5.771		5.301	211.991
101.8	8.168		5.33	255.962
102	7.919		5.326	244.931
102.2	7.688		5.387	263.908
102.4	8.711		5.348	262.636
102.6	7.699		5.289	261.749
102.8	7.815		5.385	249.262
103	7.601		5.266	222.994
103.2	7.824		5.296	249.967
103.4	7.589		5.175	222.155
103.6	8.852		5.081	215.493
103.8	8.837		5.352	236.172
104	8.322		5.331	237.335
104.2	8.658		5.339	245.032
104.4	7.464		5.329	237.668
104.6	8.752		5.236	257.764
104.8	8.277		5.327	235.346
105	8.387		5.295	269.987
105.2	8.102		5.259	249.111
105.4	7.769		5.44	264.94
105.6	7.81		5.426	253.148
105.8	8.509		5.344	247.013
106	8.31		5.334	283.082
106.2	8.14		5.223	254.175
106.4	8.071		5.37	279.046
106.6	7.734		5.293	274.818
106.8	8.08		5.271	263.406
107	7.277		5.379	254.893
107.2	8.157		5.259	245.689
107.4	7.504		5.347	287.077
107.6	7.655		5.233	265.672
107.8	7.988		5.27	260.911
108	7.594		5.313	267.511
108.2	7.563		5.26	244.543
108.4	7.582		5.279	255.071
108.6	5.722		5.478	275.837
108.8	8.895		5.467	292.933
109	8.536		5.251	256.596
109.2	8.142		5.43	268.296
109.4	6.819		5.29	228.257
109.6	7.716		5.398	279.554
109.8	8.119		5.335	256.205
110	7.262		5.242	258.015
110.2	7.188		5.383	266.525
110.4	8.004		5.318	254.175
110.6	7.098		5.354	274.009
110.8	7.552		5.137	269.944
111	8.179		5.342	273.709
111.2	8.258		5.414	309.309
111.4	7.766		5.386	276.392
111.6	9.065		5.056	230.997
111.8	7.789		5.492	263.701
112	8.721		5.396	270.953
112.2	8.866		5.27	264.717
112.4	8.119		5.339	259.028
112.6	8.334		5.421	279.654
112.8	9.124		5.467	294.803
113	8.518		5.214	257.297
113.2	8.96		5.248	268.624
113.4	8.93		5.227	261.418
113.6	8.14		5.31	252.958
113.8	8.148		5.432	271.46
114	9.723		5.388	295.234
114.2	9.012		5.435	296.249
114.4	9.106		5.444	309.28
114.6	7.603		5.348	273.219
114.8	8.529		5.321	280.395
115	8.739		5.371	284.745
115.2	8.417		5.217	233.305
115.4	8.796		5.218	254.097
115.6	8.258		5.484	274.561
115.8	7.34		5.311	248.201
116	9.58		5.232	264.186
116.2	8.624		5.329	297.306
116.4	8.45		5.437	302.288
116.6	8.317		5.189	264.966
116.8	8.883		5.328	273.768
117	9.19		5.163	268.261
117.2	9.275		5.241	248.222
117.4	8.085		5.471	283.892
117.6	8.785		5.291	274.867
117.8	8.778		5.378	303.601
118	8.052		5.332	258.786
118.2	7.432		5.289	228.845
118.4	8.041		5.409	236.883
118.6	6.778		5.197	175.781
118.8	8.881		5.341	293.759
119	8.045		5.469	278.932
119.2	8.46		5.394	282.551
119.4	8.07		5.251	233.477
119.6	6.97		5.312	239.877
119.8	7.862		5.368	255.072
120	7.444		5.384	258.229
120.2	8.223		5.386	292.314
120.4	7.546		5.224	251.446
120.6	7.319		5.407	282.81
120.8	7.205		5.302	266.712
121	7.756		5.351	247.052
121.2	8.009		5.582	296.71
121.4	8.082		5.52	298.606
121.6	8.118		5.339	271.856
121.8	8.363		5.271	255.169
122	7.123		5.396	246.526
122.2	8.258		5.342	220.501
122.4	9.307		5.417	277.151
122.6	7.951		5.269	271.013
122.8	8.492		5.312	263.658
123	8.064		5.346	255.913
123.2	7.963		5.43	258.006
123.4	7.585		5.322	253.848
123.6	8.139		5.375	278.865
123.8	9.099		5.458	278.319
124	8.9		5.157	255.665
124.2	9.318		5.11	200.764
124.4	8.291		5.448	264.405
124.6	7.823		5.529	255.05
124.8	8.043		5.321	264.816
125	9.351		5.381	217.687
125.2	7.87		5.489	258.374
125.4	8.628		5.33	256.406
125.6	8.919		5.207	216.917
125.8	7.76		5.202	235.006
126	8.89		5.265	237.42
126.2	9.367		5.207	247.848
126.4	9.647		5.187	249.977
126.6	8.243		5.216	242.473
126.8	8.45		5.218	253.104
127	6.826		5.449	237.516
127.2	8.67		5.278	261.41
127.4	7.821		5.419	285.666
127.6	7.844		5.128	250.266
127.8	8.735		5.014	237.455
128	8.09		5.406	252.984
128.2	7.897		5.402	250.897
128.4	7.293		5.307	273.47
128.6	7.706		5.168	254.72
128.8	8.417		5.152	252.946
129	7.406		5.356	270.147
129.2	7.751		5.177	256.927
129.4	7.473		5.446	269.696
129.6	7.147		5.122	220.302
129.8	8.761		5.135	263.48
130	7.946		5.295	258.657
130.2	7.981		5.198	233.643
130.4	6.594		5.316	247.053
130.6	7.519		5.304	251.404
130.8	8.124		5.258	251.189
131	6.843		5.202	216.576
131.2	7.67		5.289	246.816
131.4	6.979		5.315	238.528
131.6	7.46		5.359	254.309
131.8	8.209		5.34	258.547
132	6.693		5.318	241.033
132.2	6.796		5.382	247.346
132.4	7.903		5.533	278.547
132.6	7.602		5.382	233.93
132.8	8.56		5.234	239.882
133	7.84		5.252	222.043
133.2	9.313		5.083	232.52
133.4	9.15		5.219	251.253
133.6	7.442		5.265	254.55
133.8	8.766		5.087	248.16
134	8.302		5.044	239.933
134.2	7.452		5.485	276.781
134.4	7.367		5.481	262.251
134.6	8.111		5.049	224.925
134.8	8.729		5.311	260.908
135	7.738		5.255	246.948
135.2	8.016		5.27	236.791
135.4	8.149		5.262	264.924
135.6	7.601		5.283	251.817
