#		Time (ns)	RMSD	RMSF	rGyr	SASA
		42.2	7.528		5.443	242.924
		42.4	7.059		5.304	259.519
		42.6	7.479		5.467	239.048
		42.8	7.189		5.361	220.408
		43	8.404		5.237	227.472
		43.2	7.722		5.23	208.083
		43.4	8.47		5.419	174.978
		43.6	8.375		5.292	204.391
		43.8	7.891		5.449	223.897
		44	7.217		5.307	169.451
		44.2	8.037		5.394	202.888
		44.4	7.642		5.284	194.807
		44.6	7.449		5.2	177.538
		44.8	7.327		5.608	257.231
		45	7.132		5.218	223.35
		45.2	6.697		5.269	200.817
		45.4	7.304		5.352	242.174
		45.6	6.327		5.424	194.15
		45.8	7.156		5.454	247.939
		46	6.803		5.431	240.875
		46.2	6.768		5.258	228.508
		46.4	6.702		5.202	243.475
		46.6	6.266		5.259	253.47
		46.8	6.254		5.25	260.455
		47	6.516		5.257	230.764
		47.2	6.741		5.468	232.065
		47.4	7.378		5.451	264.515
		47.6	7.298		5.308	237.394
		47.8	7.484		5.272	226.228
		48	7.494		5.368	246.788
		48.2	6.932		5.504	261.234
		48.4	7.044		5.245	252.37
		48.6	6.438		5.38	242.672
		48.8	7.292		5.429	267.402
		49	6.649		5.373	224.339
		49.2	6.772		5.556	223.084
		49.4	7.236		5.458	234.899
		49.6	6.295		5.434	182.844
		49.8	6.48		5.422	216.956
		50	6.491		5.478	230.652
		50.2	6.625		5.442	216.219
		50.4	6.942		5.387	229.163
		50.6	7.222		5.395	217.621
		50.8	7.838		5.499	216.822
		51	7.626		5.568	240.823
		51.2	7.344		5.27	200.622
		51.4	7.775		5.376	175.479
		51.6	7.932		5.33	170.894
		51.8	6.855		5.431	228.213
		52	7.209		5.46	207.665
		52.2	6.947		5.333	200.889
		52.4	6.576		5.307	219.212
		52.6	6.764		5.309	237.256
		52.8	7.467		5.568	201.729
		53	7.558		5.455	219.793
		53.2	6.378		5.398	221.956
		53.4	7.141		5.47	214.465
		53.6	7.251		5.527	248.391
		53.8	6.857		5.413	262.308
		54	6.952		5.422	242.283
		54.2	7.304		5.369	230.093
		54.4	7.15		5.45	248.485
		54.6	7.301		5.452	188.52
		54.8	7.268		5.536	210.171
		55	6.514		5.463	223.892
		55.2	7.464		5.447	220.168
		55.4	6.379		5.155	179.715
		55.6	6.297		5.409	264.783
		55.8	6.965		5.715	261.509
		56	7.134		5.437	215.616
		56.2	6.615		5.426	214.202
		56.4	6.549		5.62	263.149
		56.6	7.15		5.4	228.76
		56.8	7.07		5.42	241.677
		57	6.764		5.431	207.876
		57.2	6.739		5.371	244.825
		57.4	6.348		5.419	248.951
		57.6	7.429		5.465	234.658
