#			Time (ns)	RMSD	RMSF	rGyr	SASA
			92.4	11.691		4.92	214.31
			92.6	11.432		4.932	241.39
			92.8	11.603		5.008	231.745
			93	11.399		4.944	231.873
			93.2	11.387		4.925	213.911
			93.4	12.171		5.049	226.083
			93.6	11.622		5.087	230.8
			93.8	11.73		4.959	256.577
			94	11.796		5.026	242.446
			94.2	11.107		4.889	228.595
			94.4	11.157		5.069	209.13
			94.6	11.232		4.99	253.113
			94.8	12.161		5.023	243.298
			95	10.885		5.082	270.259
			95.2	10.131		5.013	244.685
			95.4	11.191		4.956	270.629
			95.6	12.12		5.002	234.053
			95.8	12.294		5.04	288.859
			96	11.482		4.992	289.946
			96.2	12.393		5.084	219.239
			96.4	12		5.042	234.471
			96.6	11.341		4.987	240.038
			96.8	12.332		5.076	248.42
			97	12.292		5.061	266.677
			97.2	12.04		5.057	264.309
			97.4	11.537		5.104	306.664
			97.6	11.112		5.045	304.064
			97.8	11.197		5.034	281.55
			98	11.098		5.045	242.971
			98.2	10.397		5.043	364.906
			98.4	11.021		4.925	263.584
			98.6	11.591		5.131	268.787
			98.8	10.367		5.047	254.759
			99	11.041		5.187	248.076
			99.2	11.169		5.009	299.929
			99.4	10.062		5	256.877
			99.6	10.669		5.075	277.253
			99.8	10.061		5.089	270.854
			100	9.548		5.043	248.277
			100.2	10.313		5.133	273.711
			100.4	10.39		4.937	220.591
			100.6	11.078		5.041	183.252
			100.8	11.256		5.031	191.045
			101	11.265		4.969	177.83
			101.2	11.16		4.995	200.877
			101.4	11.738		4.904	194.041
			101.6	11.064		4.874	201.43
			101.8	11.611		5.013	210.326
			102	12.227		5.08	256.994
			102.2	12.056		4.902	274.09
			102.4	11.91		4.984	282.944
			102.6	10.762		5.028	301.243
			102.8	11.835		5.164	282.81
			103	10.815		5.102	266.946
			103.2	11.632		5.081	292.314
			103.4	10.994		5.008	234.91
			103.6	12.442		5.025	255.85
			103.8	11.911		5.016	254.878
			104	11.911		4.926	224.986
			104.2	11.411		4.959	227.912
			104.4	11.253		5.023	207.342
			104.6	11.185		4.903	205.767
			104.8	11.013		4.956	241.337
			105	11.338		5.029	211.098
			105.2	11.488		5.041	249.472
			105.4	11.244		5.009	196.082
			105.6	11.556		5.065	223.368
			105.8	10.812		4.936	182.373
			106	11.273		4.978	222.229
			106.2	11.092		4.974	207.44
			106.4	11.11		4.896	202.528
			106.6	11.397		4.83	187.235
			106.8	10.855		4.879	200.339
			107	11.326		5.062	208.203
			107.2	11.514		4.974	210.41
			107.4	11.06		4.889	197.12
			107.6	11.217		4.91	221.896
			107.8	11.566		4.91	206.041
			108	11.258		5.013	194.728
			108.2	10.95		4.947	227.036
			108.4	10.823		4.804	198.69
			108.6	10.77		4.915	206.894
			108.8	10.918		4.96	197.684
			109	11.151		4.917	252.662
			109.2	11.137		5.035	206.588
			109.4	11.285		5.003	211.26
			109.6	11.223		4.927	210.432
			109.8	10.893		4.96	193.613
			110	11.329		4.998	207.297
			110.2	11.213		4.928	175.148
			110.4	11.247		4.955	195.757
			110.6	11.22		4.965	199.638
			110.8	11.33		4.932	196.736
			111	11.341		4.941	177.865
			111.2	11.1		4.81	182.963
			111.4	11.679		5.009	225.651
			111.6	11.98		5.106	228.942
			111.8	10.84		4.986	197.349
			112	10.69		5.019	185.577
			112.2	10.97		4.933	210.135
			112.4	10.664		4.959	214.227
			112.6	11.387		5.09	233.104
			112.8	11.471		5.001	187.751
			113	11.353		5.053	201.083
			113.2	11.099		4.893	193.704
			113.4	10.945		5	216.365
			113.6	11.015		4.948	202.596
			113.8	11.126		5.084	213.429
			114	11.485		4.925	211.727
			114.2	12.494		5.109	227.675
			114.4	11.185		4.944	206.326
			114.6	11.168		4.975	190.869
			114.8	11.632		4.984	176.862
			115	11.378		4.913	229.881
			115.2	11.217		4.989	189.557
			115.4	11.211		4.935	176.22
			115.6	10.733		5.068	184.893
			115.8	11.003		4.983	161.132
			116	11.386		4.907	201.078
			116.2	11.433		5.07	204.802
			116.4	11.272		4.947	201.769
			116.6	11.039		4.964	201.601
			116.8	11.458		5.037	212.203
			117	11.478		4.93	198.768
			117.2	11.279		4.947	201.032
			117.4	11.82		5.022	209.868
			117.6	12.167		4.937	266.978
			117.8	11.5		5.087	231.541
			118	11.623		4.893	233.674
			118.2	12.158		5.082	211.314
			118.4	11.502		4.857	199.601
			118.6	11.339		4.915	196.04
			118.8	11.485		4.983	203.148
			119	11.408		4.916	195.446
			119.2	11.711		5.169	202.609
			119.4	11.001		5.001	195.697
			119.6	11.666		5.079	200.678
			119.8	11.168		5.043	191.23
			120	11.689		4.981	185.212
			120.2	11.263		5.001	192.667
