#			Time (ns)	RMSD	RMSF	rGyr	SASA
			52	5.961		5.252	224.097
			52.2	6.543		5.388	238.692
			52.4	6.679		5.366	250.489
			52.6	6.434		5.265	226.099
			52.8	6.006		5.206	233.213
			53	6.362		5.325	217.033
			53.2	6.634		5.32	233.023
			53.4	6.011		5.251	257.299
			53.6	6.186		5.32	216.052
			53.8	6.264		5.373	221.031
			54	6.182		5.271	224.798
			54.2	6.039		5.332	202.905
			54.4	6.27		5.458	208.727
			54.6	5.526		5.221	226.374
			54.8	5.911		5.233	220.678
			55	6.358		5.379	214.941
			55.2	6.014		5.27	203.628
			55.4	6.152		5.405	208.735
			55.6	6.069		5.272	198.379
			55.8	6.645		5.401	218.176
			56	6.775		5.289	228.31
			56.2	6.234		5.28	208.624
			56.4	6.834		5.347	240.69
			56.6	5.975		5.347	229.257
			56.8	6.587		5.305	184.975
			57	6.686		5.449	219.683
			57.2	6.711		5.322	208.133
			57.4	6.141		5.399	224.622
			57.6	6.188		5.432	239.743
			57.8	6.513		5.394	212.721
			58	6.261		5.439	214.147
			58.2	6.443		5.344	225.96
			58.4	6.309		5.388	208.698
			58.6	6.657		5.416	212.996
			58.8	7.372		5.497	267.492
			59	6.126		5.421	241.235
			59.2	5.948		5.334	200.213
			59.4	6.042		5.363	212.337
			59.6	6.37		5.144	221.985
			59.8	5.781		5.371	209.347
			60	6.165		5.345	223.653
			60.2	7.065		5.074	279.202
			60.4	6.404		4.811	254.728
			60.6	8.168		5.46	323.285
			60.8	6.64		5.174	267.559
			61	7.421		5.144	292.238
			61.2	5.983		5.351	277.301
			61.4	5.897		5.396	239.012
			61.6	6.001		5.155	192.14
			61.8	7.554		5.52	335.158
			62	6.703		5.347	187.509
			62.2	6.798		5.366	209.218
			62.4	6.055		5.255	185.795
			62.6	6.251		5.296	198.067
			62.8	6.321		5.21	207.973
			63	5.766		5.259	198.56
			63.2	6.217		5.308	202.782
			63.4	6.318		5.246	214.616
			63.6	6.307		5.343	201.411
			63.8	6.348		5.385	197.883
			64	6.618		5.252	202.354
			64.2	6.33		5.391	180.337
			64.4	6.263		5.392	201.727
