Ligand,Mode,Vina_Affinity,CNN_Pose_Confidence,CNN_pKd
candidate_165,3,6.53,0.5094,5.904
candidate_165,4,8.36,0.4718,5.973
candidate_165,5,2.74,0.4223,6.861
candidate_165,6,4.89,0.4064,6.033
candidate_165,7,6.47,0.3912,5.683
candidate_165,8,11.72,0.3812,5.614
candidate_165,9,14.82,0.3719,5.815
candidate_166,1,-6.57,0.8973,6.98
candidate_166,2,-7.14,0.8057,6.377
candidate_166,3,-8.35,0.6692,5.748
candidate_166,4,56.04,0.6572,6.275
candidate_166,5,-8.3,0.6298,5.691
candidate_166,6,-1.55,0.6007,5.446
candidate_166,7,9.12,0.5805,5.048
candidate_166,8,3.87,0.5717,5.409
candidate_166,9,-7.16,0.5635,5.664
candidate_167,1,1.92,0.4285,5.391
candidate_167,2,34.21,0.3251,5.724
candidate_167,3,11.89,0.3156,5.529
candidate_167,4,23.34,0.3143,5.189
candidate_167,5,15.29,0.3119,4.539
candidate_167,6,30.2,0.2375,5.203
candidate_167,7,10.09,0.2353,5.488
candidate_167,8,15.11,0.2098,4.807
candidate_167,9,6.34,0.1978,4.999
candidate_168,1,-8.28,0.7732,6.616
candidate_168,2,-8.78,0.773,7.199
candidate_168,3,-8.16,0.7712,7.257
candidate_168,4,2.19,0.6944,7.097
candidate_168,5,-6.71,0.6623,6.675
candidate_168,6,12.54,0.6216,6.286
candidate_168,7,1.81,0.5903,5.426
candidate_168,8,5.12,0.5863,6.382
candidate_168,9,5.07,0.5728,5.831
candidate_169,1,45.47,0.8544,7.125
candidate_169,2,16.69,0.7488,6.756
candidate_169,3,15.02,0.5841,5.962
candidate_169,4,6.91,0.5095,5.503
candidate_169,5,16.63,0.4805,5.415
candidate_169,6,20.91,0.4615,5.769
candidate_169,7,5.15,0.4589,5.55
candidate_169,8,17.75,0.4017,5.96
candidate_169,9,9.26,0.4001,5.735
candidate_17,1,9.69,0.4751,5.536
candidate_17,2,11.22,0.4052,5.656
candidate_17,3,7.62,0.3398,5.445
candidate_17,4,14.06,0.3262,5.473
candidate_17,5,6.74,0.3252,5.932
candidate_17,6,19.22,0.3132,5.618
candidate_17,7,4.78,0.3115,5.116
candidate_17,8,9.5,0.2924,5.022
candidate_17,9,10.2,0.2902,5.594
candidate_170,1,-2.44,0.2552,5.602
candidate_170,2,3.95,0.219,5.862
candidate_170,3,1.83,0.2095,5.701
candidate_170,4,30.37,0.1827,5.724
candidate_170,5,4.24,0.1768,5.734
candidate_170,6,13.13,0.1418,4.898
candidate_170,7,8.3,0.1264,5.273
candidate_170,8,43.27,0.0901,5.459
candidate_170,9,21.93,0.082,5.266
candidate_171,1,18.68,0.5744,5.844
candidate_171,2,7.37,0.5593,5.691
candidate_171,3,4.22,0.5436,6.533
candidate_171,4,7.96,0.4876,6.012
candidate_171,5,10.77,0.4808,5.144
candidate_171,6,9.37,0.4744,5.602
candidate_171,7,10.03,0.4591,5.287
candidate_171,8,0.72,0.4548,5.432
candidate_171,9,5.81,0.4532,5.509
candidate_172,1,-7.07,0.8603,7.065
candidate_172,2,28.95,0.6196,5.698
candidate_172,3,57.59,0.5885,6.675
candidate_172,4,8.16,0.483,5.08
candidate_172,5,7.93,0.4742,4.251
candidate_172,6,3.11,0.4584,5.217
candidate_172,7,10.94,0.4498,5.251
candidate_172,8,13.17,0.3905,4.72
candidate_172,9,11.58,0.3889,5.121
candidate_173,1,6.31,0.6208,5.102
candidate_173,2,0.4,0.596,5.358
candidate_173,3,1.21,0.567,4.993
candidate_173,4,1.88,0.5617,5.348
candidate_173,5,5.51,0.5427,5.039
candidate_173,6,5.13,0.5418,4.81
candidate_173,7,-2.61,0.5266,5.584
candidate_173,8,-0.67,0.52,5.212
candidate_173,9,8.37,0.511,4.763
candidate_174,1,-8.2,0.7402,6.854
candidate_174,2,-5.69,0.5454,6.74
candidate_174,3,23.43,0.4874,4.633
candidate_174,4,-5.16,0.4575,6.736
candidate_174,5,8.99,0.4008,5.93
candidate_174,6,23.19,0.3721,4.972
candidate_174,7,-1.5,0.3626,5.5
candidate_174,8,4.61,0.3583,5.102
candidate_174,9,-1.16,0.344,5.458
candidate_175,1,-7.31,0.4212,6.621
candidate_175,2,46.52,0.2727,5.23
candidate_175,3,49.15,0.2532,5.608
candidate_175,4,-1.7,0.2532,4.973
candidate_175,5,-7.18,0.1971,5.838
candidate_175,6,-8.76,0.1408,5.629
candidate_175,7,-6.86,0.1382,5.358
candidate_175,8,5.83,0.1303,5.542
candidate_175,9,-8.06,0.1218,5.556
candidate_176,1,-7.12,0.8004,7.171
candidate_176,2,51.69,0.7129,6.626
candidate_176,3,-7.82,0.6944,7.138
candidate_176,4,3.02,0.6618,6.196
candidate_176,5,13.38,0.6471,5.449
candidate_176,6,1.22,0.6292,5.843
candidate_176,7,-0.04,0.6224,6.185
candidate_176,8,7.4,0.617,5.786
candidate_176,9,11.16,0.613,5.367
candidate_177,1,8.18,0.4479,5.169
candidate_177,2,17.92,0.3333,5.102
candidate_177,3,-7.73,0.1968,5.535
candidate_177,4,20.38,0.1841,5.575
candidate_177,5,10.87,0.1781,4.895
candidate_177,6,16.14,0.1594,4.717
candidate_177,7,-7.19,0.1534,4.784
candidate_177,8,14.79,0.1532,5.082
candidate_177,9,2.54,0.1494,4.807
candidate_178,1,11.92,0.52,4.943
candidate_178,2,10.82,0.5137,5.819
candidate_178,3,10.33,0.4516,5.6
candidate_178,4,12.02,0.4006,5.388
candidate_178,5,3.19,0.381,5.879
candidate_178,6,27.87,0.3717,5.733
candidate_178,7,2.68,0.3688,5.108
candidate_178,8,7.77,0.3583,5.705
candidate_178,9,5.56,0.3257,5.782
candidate_179,1,8.78,0.4249,5.74
candidate_179,2,2.1,0.3827,5.442
candidate_179,3,-1.8,0.3294,5.546
candidate_179,4,-7.28,0.3138,6.667
candidate_179,5,-2.3,0.2892,5.57
candidate_179,6,-8.89,0.2695,6.725
candidate_179,7,-7.98,0.2274,6.375
candidate_179,8,-7.48,0.2227,6.321
candidate_179,9,34.75,0.2209,4.978
candidate_18,1,-7.49,0.9695,7.533
candidate_18,2,-1.51,0.8499,4.926
candidate_18,3,5.05,0.7344,7.08
candidate_18,4,9.39,0.6719,6.794
candidate_18,5,11.63,0.625,5.438
candidate_18,6,4.0,0.5761,5.572
candidate_18,7,13.76,0.5276,5.476
candidate_18,8,12.61,0.5122,5.359
candidate_18,9,11.46,0.4964,5.24
candidate_180,1,28.1,0.6245,6.073
candidate_180,2,17.01,0.6183,4.971
candidate_180,3,-6.0,0.5997,5.531
candidate_180,4,5.46,0.5957,5.075
candidate_180,5,9.22,0.5681,5.404
candidate_180,6,4.44,0.5277,5.174
candidate_180,7,21.41,0.5249,5.8
candidate_180,8,12.89,0.5131,4.681
candidate_180,9,24.98,0.4724,4.959
candidate_181,1,43.62,0.6703,6.831
candidate_181,2,0.72,0.5893,5.423
candidate_181,3,34.7,0.3962,6.256
candidate_181,4,-0.82,0.2852,5.117
candidate_181,5,24.79,0.2319,5.153
candidate_181,6,83.35,0.1473,4.963
candidate_181,7,-7.17,0.1331,6.323
candidate_181,8,19.42,0.1327,4.35
candidate_181,9,53.4,0.1319,5.832
candidate_182,1,16.43,0.2525,5.012
candidate_182,2,-7.97,0.1898,5.612
candidate_182,3,13.54,0.1647,4.705
candidate_182,4,-7.85,0.1231,5.628
candidate_182,5,-7.52,0.1018,5.178
candidate_182,6,-7.09,0.1017,5.547
candidate_182,7,-7.55,0.079,5.31
candidate_182,8,-7.49,0.071,4.885
candidate_182,9,-7.7,0.0683,5.34
candidate_183,1,-5.83,0.7016,6.753
candidate_183,2,6.05,0.6988,5.941
candidate_183,3,18.96,0.6362,6.274
candidate_183,4,17.06,0.615,6.681
candidate_183,5,7.14,0.6119,6.475
candidate_183,6,7.84,0.5924,5.628
candidate_183,7,5.86,0.5815,5.902
candidate_183,8,-3.68,0.5729,6.194
candidate_183,9,7.45,0.5516,5.67
candidate_184,1,8.93,0.5192,5.097
candidate_184,2,4.46,0.412,5.38
candidate_184,3,-2.25,0.4094,5.502
candidate_184,4,12.74,0.402,5.142
candidate_184,5,4.24,0.3892,5.391
candidate_184,6,7.17,0.3799,4.658
candidate_184,7,-0.26,0.3113,5.278
candidate_184,8,3.11,0.3067,5.591
candidate_184,9,9.69,0.2642,5.463
candidate_185,1,-6.65,0.9196,6.986
candidate_185,2,-7.17,0.8728,6.861
candidate_185,3,-7.36,0.8606,6.78
candidate_185,4,-8.45,0.8346,6.335
candidate_185,5,-6.35,0.7816,6.568
candidate_185,6,11.66,0.7555,6.536
candidate_185,7,-3.3,0.7281,7.008
candidate_185,8,-6.98,0.6473,6.718
candidate_185,9,-4.63,0.6245,5.623
candidate_186,1,-1.17,0.6715,5.191
candidate_186,2,4.62,0.5539,5.528
candidate_186,3,8.94,0.5078,5.136
candidate_186,4,7.18,0.503,5.345
candidate_186,5,0.33,0.4817,5.336
candidate_186,6,-0.84,0.4717,4.749
candidate_186,7,13.49,0.4678,5.36
candidate_186,8,7.37,0.4626,5.135
candidate_186,9,4.83,0.4341,5.388
candidate_187,1,32.78,0.6767,6.674
candidate_187,2,12.59,0.3872,4.842
candidate_187,3,22.76,0.2761,5.412
candidate_187,4,4.83,0.254,5.245
candidate_187,5,2.76,0.2524,5.44
candidate_187,6,7.69,0.2517,5.188
candidate_187,7,-7.0,0.235,6.575
candidate_187,8,14.15,0.2317,5.435
candidate_187,9,10.13,0.2271,6.079
candidate_188,1,14.73,0.5039,5.566
candidate_188,2,5.78,0.4524,5.812
candidate_188,3,-0.59,0.4143,5.376
candidate_188,4,32.19,0.3639,6.001
candidate_188,5,3.4,0.3594,5.922
candidate_188,6,21.4,0.336,5.855
candidate_188,7,25.39,0.2676,5.444
candidate_188,8,14.01,0.2518,4.704
candidate_188,9,17.34,0.2369,4.844
candidate_189,1,-8.07,0.1603,5.985
candidate_189,2,15.63,0.1416,4.587
candidate_189,3,9.61,0.1332,4.711
candidate_189,4,-6.8,0.1332,5.698
candidate_189,5,11.3,0.1175,4.618
candidate_189,6,-8.02,0.1135,4.91
candidate_189,7,20.47,0.1119,4.671
candidate_189,8,-8.26,0.1022,5.212
candidate_189,9,-4.64,0.1013,5.066
candidate_19,1,-1.92,0.6658,5.786
candidate_19,2,12.02,0.4615,6.185
candidate_19,3,21.46,0.4347,4.872
candidate_19,4,13.31,0.3711,5.327
candidate_19,5,17.24,0.2257,5.32
candidate_19,6,13.19,0.201,5.619
candidate_19,7,-7.59,0.1981,6.38
candidate_19,8,4.99,0.1713,4.974
candidate_19,9,-7.38,0.158,6.038
candidate_190,1,8.39,0.4603,5.568
candidate_190,2,1.58,0.4489,5.277
candidate_190,3,8.71,0.4071,5.126
candidate_190,4,9.32,0.4051,4.538
candidate_190,5,-0.02,0.3924,5.241
candidate_190,6,8.49,0.3707,4.83
candidate_190,7,6.81,0.3544,4.913
candidate_190,8,6.21,0.3528,4.882
candidate_190,9,10.41,0.3084,4.595
candidate_191,1,-7.39,0.9093,7.272
candidate_191,2,14.91,0.567,5.732
candidate_191,3,26.86,0.555,6.693
candidate_191,4,10.61,0.5316,5.606
candidate_191,5,-7.98,0.5277,6.357
candidate_191,6,-7.52,0.4649,6.703
candidate_191,7,0.32,0.463,5.58
candidate_191,8,7.2,0.4426,5.424
candidate_191,9,13.56,0.4358,5.549
candidate_192,1,24.16,0.3519,5.403
candidate_192,2,7.88,0.3477,5.124
candidate_192,3,13.32,0.3436,5.33
candidate_192,4,5.66,0.3093,4.605
candidate_192,5,5.43,0.3063,4.759
candidate_192,6,14.23,0.3063,5.203
candidate_192,7,8.23,0.3037,5.477
candidate_192,8,10.27,0.2569,5.008
candidate_192,9,11.52,0.2557,4.965
candidate_193,1,-7.63,0.6935,7.057
candidate_193,2,-2.23,0.617,6.14
candidate_193,3,15.97,0.585,5.862
candidate_193,4,0.72,0.5762,5.974
candidate_193,5,-1.81,0.54,5.93
candidate_193,6,-0.15,0.5317,5.766
candidate_193,7,11.18,0.5231,6.178
candidate_193,8,10.95,0.5083,6.199
candidate_193,9,6.3,0.5013,5.535
candidate_194,1,3.23,0.5688,5.775
candidate_194,2,1.55,0.4856,5.837
candidate_194,3,3.64,0.4224,5.187
candidate_194,4,10.29,0.3973,5.271
candidate_194,5,1.19,0.3726,5.629
candidate_194,6,10.56,0.3404,4.835
candidate_194,7,15.65,0.3057,5.504
candidate_194,8,29.77,0.3045,5.362
candidate_194,9,9.36,0.286,5.133
candidate_195,1,9.48,0.6052,5.739
candidate_195,2,-0.91,0.5857,6.254
candidate_195,3,8.26,0.5795,5.803
candidate_195,4,0.94,0.5787,5.467
candidate_195,5,11.73,0.5758,5.853
candidate_195,6,13.15,0.5736,6.092
candidate_195,7,1.01,0.5602,5.303
candidate_195,8,17.71,0.5417,5.437
candidate_195,9,5.85,0.5271,5.134
candidate_196,1,-7.53,0.6845,6.603
candidate_196,2,18.97,0.6236,5.808
candidate_196,3,7.12,0.6233,6.501
candidate_196,4,-3.8,0.5995,6.576
candidate_196,5,-7.38,0.5494,6.873
candidate_196,6,-7.17,0.5473,6.53
candidate_196,7,-6.43,0.4909,6.78
candidate_196,8,-6.6,0.471,6.016
candidate_196,9,10.84,0.4451,5.865
candidate_197,1,17.94,0.2832,4.951
candidate_197,2,13.05,0.2388,4.876
candidate_197,3,29.22,0.1949,4.744
candidate_197,4,-2.02,0.1753,4.11
candidate_197,5,21.74,0.1735,5.242
candidate_197,6,6.69,0.1332,4.633
candidate_197,7,23.37,0.1116,4.285
candidate_197,8,17.18,0.1027,4.441
candidate_197,9,2.47,0.1001,4.742
candidate_198,1,7.21,0.5413,4.934
candidate_198,2,12.88,0.5239,5.52
candidate_198,3,5.72,0.4688,5.622
candidate_198,4,16.07,0.4609,5.409
candidate_198,5,14.71,0.4184,4.951
candidate_198,6,-0.11,0.4052,5.375
candidate_198,7,4.94,0.3815,5.174
candidate_198,8,11.51,0.3502,5.259
candidate_198,9,7.36,0.3493,5.328
candidate_199,1,4.6,0.5358,5.834
candidate_199,2,20.95,0.266,5.704
candidate_199,3,5.06,0.2533,5.143
candidate_199,4,4.65,0.2406,5.44
candidate_199,5,11.85,0.2239,5.062
candidate_199,6,6.61,0.2232,5.073
candidate_199,7,9.26,0.2161,5.493
candidate_199,8,5.59,0.2118,4.676
candidate_199,9,20.41,0.2075,5.858
candidate_2,1,7.37,0.5497,6.143
candidate_2,2,6.01,0.5425,6.43
candidate_2,3,9.73,0.5241,6.28
candidate_2,4,7.42,0.5232,5.711
candidate_2,5,6.08,0.4955,5.094
candidate_2,6,-7.24,0.4899,6.496
candidate_2,7,-3.52,0.466,6.116
candidate_2,8,9.5,0.4444,5.384
candidate_2,9,-1.11,0.4349,5.801
candidate_20,1,-8.26,0.977,7.893
candidate_20,2,-7.25,0.9238,7.552
candidate_20,3,-8.53,0.9186,7.607
candidate_20,4,-7.15,0.9183,7.57
candidate_20,5,-6.35,0.7856,7.076
candidate_20,6,-7.87,0.7528,7.525
candidate_20,7,-7.54,0.6613,7.296
candidate_20,8,11.0,0.649,6.223
candidate_20,9,8.69,0.5713,6.101
candidate_200,1,8.97,0.599,6.13
candidate_200,2,10.94,0.5735,5.553
candidate_200,3,3.6,0.5448,5.296
candidate_200,4,8.63,0.5433,5.811
candidate_200,5,5.77,0.4566,5.601
candidate_200,6,4.52,0.4318,5.757
candidate_200,7,11.83,0.4234,5.239
candidate_200,8,13.92,0.4189,5.43
candidate_200,9,14.58,0.3612,5.528
candidate_201,1,14.72,0.7374,6.35
candidate_201,2,10.59,0.6234,5.579
candidate_201,3,13.09,0.5811,5.28
candidate_201,4,-6.89,0.5204,5.528
candidate_201,5,13.12,0.4493,5.421
candidate_201,6,-5.22,0.41,6.017
candidate_201,7,3.16,0.4035,5.22
candidate_201,8,7.0,0.3945,5.313
candidate_201,9,0.23,0.3857,4.662
candidate_202,1,-8.71,0.8768,7.672
candidate_202,2,-2.33,0.6195,5.535
candidate_202,3,-7.92,0.5981,7.248
candidate_202,4,13.91,0.5904,5.59
candidate_202,5,14.51,0.5835,5.679
candidate_202,6,17.42,0.5378,6.21
candidate_202,7,7.43,0.5302,5.943
candidate_202,8,19.81,0.5216,6.618
candidate_202,9,21.27,0.497,6.512
candidate_203,1,-5.51,0.755,7.531
candidate_203,2,13.3,0.5942,6.932
candidate_203,3,-6.57,0.5317,7.241
candidate_203,4,16.91,0.5097,4.911
candidate_203,5,-4.22,0.4934,7.083
candidate_203,6,1.6,0.487,6.164
candidate_203,7,-1.7,0.48,5.457
candidate_203,8,8.19,0.4525,7.092
candidate_203,9,7.71,0.396,5.615
candidate_204,1,11.87,0.6015,5.563
candidate_204,2,2.39,0.5451,5.76
candidate_204,3,17.08,0.5009,5.293
candidate_204,4,-5.46,0.4711,5.806
candidate_204,5,-8.09,0.4411,6.041
candidate_204,6,7.03,0.4407,5.612
candidate_204,7,13.64,0.4097,5.951
candidate_204,8,0.43,0.4055,5.745
candidate_204,9,-6.72,0.3491,5.623
candidate_205,1,-1.28,0.8252,4.444
candidate_205,2,30.81,0.5937,5.666
candidate_205,3,13.55,0.5453,4.994
candidate_205,4,10.24,0.5349,5.162
candidate_205,5,9.21,0.5241,5.45
candidate_205,6,9.21,0.4814,5.503
candidate_205,7,8.68,0.4636,4.978
candidate_205,8,1.47,0.4371,5.447
candidate_205,9,8.34,0.4358,5.192
candidate_206,1,4.82,0.5472,5.629
candidate_206,2,9.38,0.5402,6.262
candidate_206,3,11.03,0.5334,6.127
candidate_206,4,-6.67,0.5182,7.018
candidate_206,5,11.82,0.5088,5.904
candidate_206,6,7.26,0.5051,5.755
candidate_206,7,13.07,0.4661,5.655
candidate_206,8,12.33,0.4594,5.464
candidate_206,9,3.33,0.4478,6.254
candidate_207,1,3.06,0.5247,4.945
candidate_207,2,6.5,0.516,5.095
candidate_207,3,3.88,0.5088,5.462
candidate_207,4,16.44,0.457,6.074
candidate_207,5,15.85,0.4134,4.85
candidate_207,6,3.14,0.4082,5.282
candidate_207,7,1.23,0.3972,4.734
candidate_207,8,10.72,0.3911,4.939
candidate_207,9,15.41,0.3647,5.327
candidate_208,1,-1.84,0.4394,6.177
candidate_208,2,2.73,0.3929,5.902
candidate_208,3,9.34,0.3588,4.853
candidate_208,4,10.45,0.2653,5.129
candidate_208,5,2.3,0.2617,5.706
candidate_208,6,8.08,0.2394,5.556
candidate_208,7,13.13,0.2246,5.347
candidate_208,8,17.61,0.2178,5.181
candidate_208,9,29.39,0.2159,5.161
candidate_209,1,21.28,0.3461,5.243
candidate_209,2,-1.48,0.3263,5.271
candidate_209,3,22.17,0.2774,5.213
candidate_209,4,23.26,0.2373,5.178
candidate_209,5,17.91,0.1732,4.873
candidate_209,6,19.43,0.1486,4.718
candidate_209,7,51.31,0.1246,5.417
candidate_209,8,-4.23,0.1187,4.433
candidate_209,9,-6.94,0.1144,5.221
candidate_21,1,-3.34,0.6778,6.683
candidate_21,2,8.27,0.6424,5.836
candidate_21,3,9.22,0.6148,5.532
candidate_21,4,18.85,0.6048,5.032
candidate_21,5,4.94,0.5923,6.036
candidate_21,6,8.86,0.5797,5.385
candidate_21,7,54.17,0.5757,6.264
candidate_21,8,27.57,0.5494,5.364
candidate_21,9,6.99,0.5465,5.99
candidate_210,1,30.72,0.5683,6.956
candidate_210,2,9.3,0.4565,5.822
candidate_210,3,21.94,0.3432,5.155
candidate_210,4,1.92,0.3298,6.058
candidate_210,5,14.71,0.3289,5.616
candidate_210,6,-6.83,0.2335,5.995
candidate_210,7,20.79,0.2324,5.807
candidate_210,8,22.38,0.2199,5.444
candidate_210,9,34.12,0.2138,5.784
candidate_211,1,10.41,0.5689,4.996
candidate_211,2,3.84,0.5327,5.14
candidate_211,3,21.93,0.4909,5.719
candidate_211,4,10.91,0.4878,5.38
candidate_211,5,11.17,0.4833,5.028
candidate_211,6,23.88,0.4755,5.284
candidate_211,7,13.83,0.434,5.61
candidate_211,8,19.67,0.4269,5.239
candidate_211,9,6.92,0.4028,5.588
candidate_212,1,8.17,0.4788,5.323
candidate_212,2,-6.36,0.4174,6.361
candidate_212,3,45.55,0.4098,5.241
candidate_212,4,8.2,0.4013,5.492
candidate_212,5,40.71,0.3755,5.434
candidate_212,6,15.35,0.3382,5.069
candidate_212,7,7.87,0.3203,5.591
candidate_212,8,-7.04,0.308,6.339
candidate_212,9,10.76,0.304,4.809
candidate_213,1,10.39,0.5522,5.564
candidate_213,2,19.37,0.4686,5.772
candidate_213,3,4.17,0.4566,5.488
candidate_213,4,-1.48,0.39,5.463
candidate_213,5,10.37,0.3832,5.791
candidate_213,6,19.53,0.3189,5.377
candidate_213,7,17.49,0.3151,5.226
candidate_213,8,9.79,0.2649,4.665
candidate_213,9,8.21,0.2576,5.439
candidate_214,1,-7.57,0.9269,7.003
candidate_214,2,-8.09,0.9135,6.898
candidate_214,3,-6.93,0.872,6.816
candidate_214,4,8.2,0.6617,5.934
candidate_214,5,10.68,0.6569,5.872
candidate_214,6,-2.13,0.6213,6.122
candidate_214,7,6.64,0.6108,5.84
candidate_214,8,8.51,0.6065,6.093
candidate_214,9,3.1,0.603,5.765
candidate_215,1,10.54,0.5921,5.525
candidate_215,2,25.49,0.5715,6.475
candidate_215,3,5.42,0.5278,5.79
candidate_215,4,19.78,0.4972,5.111
candidate_215,5,1.16,0.4753,5.382
candidate_215,6,9.99,0.461,5.328
candidate_215,7,19.61,0.4504,5.511
candidate_215,8,11.87,0.4419,5.801
candidate_215,9,15.89,0.4396,5.734
candidate_216,1,13.19,0.6351,5.387
candidate_216,2,2.82,0.5803,5.361
candidate_216,3,3.63,0.5802,5.877
candidate_216,4,17.73,0.555,5.024
candidate_216,5,7.78,0.5521,5.13
candidate_216,6,6.28,0.521,5.013
candidate_216,7,-0.79,0.518,5.322
candidate_216,8,19.92,0.5138,4.541
candidate_216,9,24.15,0.4976,5.579
candidate_217,1,4.19,0.4341,5.149
candidate_217,2,36.76,0.3361,6.709
candidate_217,3,-6.62,0.3303,7.127
candidate_217,4,19.38,0.304,5.408
candidate_217,5,3.35,0.3022,5.763
candidate_217,6,12.25,0.2545,4.914
candidate_217,7,17.72,0.2352,5.584
candidate_217,8,17.2,0.2347,4.999
candidate_217,9,14.03,0.2315,5.026
candidate_218,1,-0.77,0.8104,4.884
candidate_218,2,-0.76,0.703,5.245
candidate_218,3,4.17,0.6512,5.363
candidate_218,4,-2.23,0.6209,5.46
candidate_218,5,7.48,0.6048,5.837
candidate_218,6,-1.46,0.5837,5.049
candidate_218,7,11.24,0.5554,4.612
candidate_218,8,12.02,0.5409,4.479
candidate_218,9,31.24,0.539,6.354
candidate_219,1,14.69,0.5688,6.173
candidate_219,2,14.26,0.5531,5.35
candidate_219,3,7.95,0.5346,6.05
candidate_219,4,12.98,0.5233,5.469
candidate_219,5,-5.18,0.4821,6.365
candidate_219,6,2.46,0.4637,5.301
candidate_219,7,9.23,0.4549,5.517
candidate_219,8,6.85,0.45,5.585
candidate_219,9,11.56,0.4444,4.87
candidate_22,1,16.97,0.5615,5.698
candidate_22,2,5.94,0.5528,5.33
candidate_22,3,6.9,0.5241,5.204
candidate_22,4,13.55,0.5184,6.017
candidate_22,5,1.65,0.4916,4.992
candidate_22,6,4.46,0.4706,5.583
candidate_22,7,10.42,0.4691,5.276
candidate_22,8,13.5,0.464,5.732
candidate_22,9,6.84,0.4613,5.703
candidate_220,1,10.99,0.5779,5.493
candidate_220,2,7.05,0.576,6.479
candidate_220,3,-7.31,0.5488,6.758
candidate_220,4,3.87,0.492,5.659
candidate_220,5,16.49,0.451,6.198
candidate_220,6,12.08,0.4376,5.273
candidate_220,7,9.33,0.41,5.521
candidate_220,8,3.05,0.3334,5.334
candidate_220,9,24.11,0.3304,5.652
candidate_221,1,-7.38,0.9769,7.854
candidate_221,2,-6.74,0.896,7.54
candidate_221,3,-7.19,0.871,7.58
candidate_221,4,-0.84,0.7438,5.383
candidate_221,5,11.82,0.7113,6.228
candidate_221,6,16.17,0.7054,5.791
candidate_221,7,11.91,0.6666,5.829
candidate_221,8,12.73,0.6582,5.979
candidate_221,9,11.08,0.6337,5.939
candidate_222,1,8.29,0.6191,5.666
candidate_222,2,-6.98,0.5669,6.527
candidate_222,3,30.93,0.5569,4.806
candidate_222,4,33.98,0.551,6.535
candidate_222,5,5.49,0.5064,5.787
candidate_222,6,7.92,0.4847,5.921
candidate_222,7,12.28,0.4732,5.196
candidate_222,8,-1.97,0.4723,5.492
candidate_222,9,10.48,0.4602,5.466
candidate_223,1,12.2,0.5983,6.348
candidate_223,2,1.73,0.5706,5.822
candidate_223,3,-7.77,0.5568,7.044
candidate_223,4,4.81,0.5179,6.033
candidate_223,5,-1.6,0.5067,5.863
candidate_223,6,8.33,0.4935,6.13
candidate_223,7,-6.19,0.4697,6.795
candidate_223,8,7.43,0.4328,5.68
candidate_223,9,2.28,0.4109,6.09
candidate_224,1,7.98,0.6223,6.048
candidate_224,2,7.87,0.501,5.325
candidate_224,3,41.88,0.4894,6.413
candidate_224,4,8.46,0.488,4.972
candidate_224,5,1.68,0.4752,5.544
candidate_224,6,6.32,0.469,5.567
candidate_224,7,5.16,0.4474,5.338
candidate_224,8,12.58,0.4099,5.276
candidate_224,9,5.58,0.396,5.227
candidate_225,1,11.56,0.5966,6.305
candidate_225,2,-3.54,0.5406,6.222
candidate_225,3,8.05,0.529,6.246
candidate_225,4,0.68,0.5054,6.085
candidate_225,5,-1.39,0.4963,6.08
candidate_225,6,9.04,0.4939,6.135
candidate_225,7,4.66,0.485,5.92
candidate_225,8,7.53,0.484,5.978
candidate_225,9,12.65,0.472,6.106
candidate_226,1,3.75,0.5654,5.029
candidate_226,2,40.05,0.5563,4.941
candidate_226,3,8.14,0.5078,5.907
candidate_226,4,1.58,0.5059,4.8
candidate_226,5,1.02,0.4693,4.821
candidate_226,6,6.24,0.4563,5.002
candidate_226,7,8.92,0.4239,4.746
candidate_226,8,4.85,0.4131,5.266
candidate_226,9,10.59,0.3826,4.839
candidate_227,1,-8.61,0.912,7.119
candidate_227,2,-8.46,0.6908,6.111
candidate_227,3,17.66,0.6066,5.483
candidate_227,4,-7.88,0.601,6.087
candidate_227,5,-6.66,0.6001,6.76
candidate_227,6,-8.2,0.5737,5.95
candidate_227,7,-8.43,0.5353,5.871
candidate_227,8,-0.53,0.5334,5.373
candidate_227,9,-8.53,0.5331,5.944
candidate_228,1,1.21,0.4723,6.092
candidate_228,2,26.22,0.3924,5.114
candidate_228,3,17.56,0.3136,6.332
candidate_228,4,19.51,0.2434,6.083
candidate_228,5,-8.05,0.2377,6.413
candidate_228,6,-6.83,0.2275,5.594
candidate_228,7,-5.54,0.2262,6.376
candidate_228,8,-6.85,0.1604,5.492
candidate_228,9,7.84,0.1459,5.269
candidate_229,1,-1.37,0.4934,6.291
candidate_229,2,6.75,0.4874,6.616
candidate_229,3,-8.24,0.4598,6.616
candidate_229,4,14.16,0.4494,6.224
candidate_229,5,8.52,0.4256,5.493
candidate_229,6,-6.86,0.4151,6.341
candidate_229,7,42.59,0.3943,5.48
candidate_229,8,11.21,0.3844,5.7
candidate_229,9,18.22,0.3571,5.436
candidate_23,1,8.3,0.492,7.017
candidate_23,2,9.78,0.3774,5.811
candidate_23,3,10.18,0.3011,5.097
candidate_23,4,17.51,0.2895,5.395
candidate_23,5,10.48,0.2706,5.564
candidate_23,6,11.31,0.2525,5.132
candidate_23,7,20.16,0.2019,5.15
candidate_23,8,26.16,0.1826,5.402
candidate_23,9,-5.52,0.1715,4.891
candidate_230,1,182.41,0.368,4.507
candidate_230,2,10.04,0.2895,5.414
candidate_230,3,4.98,0.1298,5.498
candidate_230,4,27.95,0.126,5.258
candidate_230,5,44.83,0.118,5.042
candidate_230,6,9.23,0.1144,4.314
