Domain,Ligand,Replica,Frame,dG_bind
JH1,299,3,025,-26.0368968799997
JH1,299,3,026,-22.060996160000034
JH1,299,3,027,-21.165386159999798
JH1,299,3,028,-22.924049839999626
JH1,299,3,029,-22.698247759999877
JH1,299,3,030,-25.097434080000244
JH1,299,3,031,-25.201966399999748
JH1,299,3,032,-26.62863807999998
JH1,299,3,033,-24.714606079999925
JH1,299,3,034,-24.968631280000274
JH1,299,3,035,-19.728942000000124
JH1,299,3,036,-26.74431200000031
JH1,299,3,037,-21.914662719999882
JH1,299,3,038,-24.139596559999955
JH1,299,3,039,-20.74084240000022
JH1,299,3,040,-24.215574319999746
JH1,299,3,041,-19.22150024000014
JH1,299,3,042,-23.910252160000056
JH1,299,3,043,-25.5695447200003
JH1,299,3,044,-19.09098919999957
JH1,299,3,045,-19.56543592000054
JH1,299,3,046,-18.16679399999962
JH1,299,3,047,-23.349844559999937
JH1,299,3,048,-22.686427680000236
JH1,299,3,049,-20.17925823999996
JH1,299,3,050,-20.127073680000144
JH1,299,3,051,-24.278386479999515
JH1,299,3,052,-23.266620960000104
JH1,299,3,053,-25.058254639999845
JH1,299,3,054,-19.52746943999976
JH1,299,3,055,-20.425254320000228
JH1,299,3,056,-15.142694479999838
JH1,299,3,057,-22.559116080000372
JH1,299,3,058,-16.87807352000012
JH1,299,3,059,-19.767589999999487
JH1,299,3,060,-20.562888639999912
JH1,299,3,061,-21.72143416000011
JH1,299,3,062,-19.571297759999872
JH1,299,3,063,-22.998633999999498
JH1,299,3,064,-24.226057039999656
JH1,299,3,065,-26.173736720000043
JH1,299,3,066,-17.842515360000284
JH1,299,3,067,-19.95138848000017
JH1,299,3,068,-23.447698799999877
JH1,299,3,069,-20.589620880000407
JH1,299,3,070,-19.160399600000073
JH1,299,3,071,-21.04951088000028
JH1,299,3,072,-18.258407359999854
JH1,299,3,073,-13.025107919999938
JH1,299,3,075,-22.51179543999983
JH1,299,3,076,-21.46386600000017
JH1,299,3,077,-21.430587759999746
JH1,299,3,078,-21.558325839999956
JH1,299,3,079,-27.91481280000034
JH1,299,3,080,-26.58831560000025
JH1,299,3,081,-24.32141416000053
JH1,299,3,082,-20.441711200000057
JH1,299,3,083,-18.311369359999837
JH1,299,3,084,-26.33118720000053
JH1,299,3,085,-21.269841280000342
JH1,299,3,086,-23.72789103999969
JH1,299,3,087,-22.576291839999868
JH1,299,3,088,-27.691743440000202
JH1,299,3,090,-20.966551119999647
JH1,299,3,091,-19.707325919999406
JH1,299,3,092,-19.79305904000026
JH1,299,3,093,-20.335238239999676
JH1,299,3,094,-19.27188240000018
JH1,299,3,095,-16.954344719999654
JH1,299,3,096,-23.21877760000033
JH1,299,3,097,-27.86154159999979
JH1,299,3,098,-17.939309119999475
JH1,299,3,099,-21.084026880000103
JH2,227,1,000,-29.178309360000753
JH2,227,1,001,-26.01176463999998
JH2,227,1,002,-27.64102352000012
JH2,227,1,003,-25.696076640000175
JH2,227,1,004,-28.639731359999995
JH2,227,1,005,-32.16732503999988
JH2,227,1,006,-25.128872400000215
JH2,227,1,007,-31.57682839999982
JH2,227,1,008,-23.688035440000487
JH2,227,1,009,-28.9092956799999
JH2,227,1,010,-24.827148480000144
JH2,227,1,011,-27.722748080000507
JH2,227,1,012,-31.40997040000011
JH2,227,1,013,-19.970210879999787
JH2,227,1,014,-23.307079360000106
JH2,227,1,015,-31.091030879999654
JH2,227,1,016,-30.8806131199996
JH2,227,1,017,-25.073208800000028
JH2,227,1,018,-25.425243840000192
JH2,227,1,019,-27.540700480000012
JH2,227,1,020,-27.957863519999634
JH2,227,1,021,-30.272560559999828
JH2,227,1,022,-22.12950311999996
JH2,227,1,023,-29.938288480000043
JH2,227,1,024,-27.84054711999951
JH2,227,1,025,-32.24499416000021
JH2,227,1,026,-27.582531360000402
JH2,227,1,027,-25.78053351999973
JH2,227,1,028,-27.601202160000042
JH2,227,1,029,-29.611553680000124
JH2,227,1,030,-31.100066239999926
JH2,227,1,031,-29.505679919999928
JH2,227,1,032,-29.48108111999987
JH2,227,1,033,-27.32097776000021
JH2,227,1,034,-30.268930559999994
JH2,227,1,035,-26.405613840000292
JH2,227,1,036,-24.70129575999995
JH2,227,1,037,-28.28015911999995
JH2,227,1,038,-23.218400560000187
JH2,227,1,039,-25.50944672000037
JH2,227,1,040,-26.960359840000326
JH2,227,1,041,-24.108873600000194
JH2,227,1,042,-28.182098719999928
JH2,227,1,043,-31.22763696000021
JH2,227,1,044,-29.077012960000072
JH2,227,1,045,-28.874669519999955
JH2,227,1,046,-26.140351440000376
JH2,227,1,047,-25.789595920000203
JH2,227,1,048,-25.802028880000258
JH2,227,1,049,-30.03327543999985
JH2,227,1,050,-30.270921760000395
JH2,227,1,051,-25.78595423999964
JH2,227,1,052,-33.47468087999997
JH2,227,1,053,-22.558350800000316
JH2,227,1,054,-26.855992400000304
JH2,227,1,055,-24.021315920000276
JH2,227,1,056,-25.56650736000007
JH2,227,1,057,-23.119936879999837
JH2,227,1,058,-24.05714111999984
JH2,227,1,059,-25.190285039999964
JH2,227,1,060,-27.392368480000002
JH2,227,1,061,-22.4736689600004
JH2,227,1,062,-20.03358320000015
JH2,227,1,063,-33.553934560000386
JH2,227,1,064,-27.09320008000039
JH2,227,1,065,-26.920790400000392
JH2,227,1,066,-28.204879759999834
JH2,227,1,067,-24.03323136000017
JH2,227,1,068,-26.25651295999981
JH2,227,1,069,-29.557119279999718
JH2,227,1,070,-23.895398799999686
JH2,227,1,071,-24.883209759999886
JH2,227,1,072,-27.40452544000038
JH2,227,1,073,-27.799288799999715
JH2,227,1,074,-25.878604959999496
JH2,227,1,075,-23.4924277600001
JH2,227,1,076,-27.852590640000486
JH2,227,1,077,-32.55801047999966
JH2,227,1,078,-25.037959040000395
JH2,227,1,079,-21.004607999999855
JH2,227,1,080,-21.783097520000076
JH2,227,1,081,-17.705085680000327
JH2,227,1,082,-19.451121919999967
JH2,227,1,083,-20.744643119999907
JH2,227,1,084,-19.989643839999847
JH2,227,1,085,-30.265890559999832
JH2,227,1,086,-30.369863919999563
JH2,227,1,087,-26.07198791999994
JH2,227,1,088,-25.24970759999993
JH2,227,1,089,-28.437143920000253
JH2,227,1,090,-29.619494960000445
JH2,227,1,091,-29.581320160000388
JH2,227,1,092,-21.179269760000018
JH2,227,1,093,-22.747063200000422
JH2,227,1,094,-24.697220399999672
JH2,227,1,095,-20.48735151999993
JH2,227,1,096,-19.96839319999981
JH2,227,1,097,-23.097992879999936
JH2,227,1,098,-22.5082917599998
JH2,227,1,099,-22.844716400000237
JH2,227,2,000,-24.911715440000037
JH2,227,2,001,-27.412744399999884
JH2,227,2,002,-26.126093040000008
JH2,227,2,003,-30.602257120000097
JH2,227,2,004,-25.861975039999756
JH2,227,2,005,-27.345012720000057
JH2,227,2,006,-27.66848176000014
JH2,227,2,007,-30.44024328000011
JH2,227,2,008,-25.927244560000126
JH2,227,2,009,-25.457020079999833
JH2,227,2,010,-30.104785760000247
JH2,227,2,011,-23.78070159999996
JH2,227,2,012,-29.04583520000032
JH2,227,2,013,-25.899644479999854
JH2,227,2,014,-23.173336800000214
JH2,227,2,015,-25.777081759999692
JH2,227,2,016,-26.964205439999887
JH2,227,2,017,-27.868085600000338
JH2,227,2,018,-24.44755208000013
JH2,227,2,019,-28.465412159999985
JH2,227,2,020,-17.700994959999896
JH2,227,2,021,-24.873490959999618
JH2,227,2,022,-26.611032320000092
JH2,227,2,023,-25.341249919999484
JH2,227,2,024,-30.094819919999896
JH2,227,2,025,-24.32985711999975
JH2,227,2,026,-27.718682960000084
JH2,227,2,027,-25.63789464000046
JH2,227,2,028,-30.853975119999827
JH2,227,2,029,-29.661117519999703
JH2,227,2,030,-26.160597840000033
JH2,227,2,031,-25.138233760000194
JH2,227,2,032,-29.26948999999984
JH2,227,2,033,-27.06507127999976
JH2,227,2,034,-28.564263200000298
JH2,227,2,035,-26.38131607999988
